                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1048,                 3.5272,                 1.1361,                0.96853,                0.26667,                0.33295,                0.30075,                0.88245,                 2.9048,                 1.0996,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0813,                  3.244,                 1.1265,                0.00186,                    0.2,                0.00576,                0.00383,                 1.1958,                  3.958,                 1.1824,             0.00013972,             0.00013972,             0.00013972
                      3,                0.81865,                  1.294,                 1.0033,                 0.0121,                    0.6,                0.01091,                0.00579,                 1.5033,                 117.59,                 1.3668,             0.00021913,             0.00021913,             0.00021913
                      4,                0.83295,                0.92678,                0.99929,                0.02935,                      1,                0.02955,                0.02355,                0.74134,                 49.244,                0.99948,             0.00029822,             0.00029822,             0.00029822
                      5,                0.71063,                  0.828,                0.94725,                0.07009,                0.86667,                0.07252,                0.05732,                 0.8336,                 11.194,                  1.005,             0.00037699,             0.00037699,             0.00037699
                      6,                0.72717,                0.68677,                0.92632,                0.93402,                0.93333,                0.98794,                0.80284,                0.78846,                 1.8804,                0.97731,             0.00045545,             0.00045545,             0.00045545
                      7,                0.73294,                 0.9344,                0.98826,                0.99522,                      1,                  0.995,                0.82337,                0.75189,                 0.9056,                0.97035,             0.00053358,             0.00053358,             0.00053358
                      8,                0.69261,                 0.6851,                0.96036,                0.96834,                      1,                  0.995,                0.82592,                0.71441,                0.98909,                0.97862,             0.00061141,             0.00061141,             0.00061141
                      9,                0.70686,                0.74805,                0.96283,                0.97395,                      1,                  0.995,                0.73298,                 1.0162,                 1.5546,                 1.1244,             0.00068891,             0.00068891,             0.00068891
                     10,                0.80385,                0.82082,                 1.0229,                 0.9604,                      1,                  0.995,                0.81332,                 0.8444,                 2.2545,                 1.0278,              0.0007661,              0.0007661,              0.0007661
                     11,                0.82591,                0.68767,                 1.0378,                0.99593,                      1,                  0.995,                0.77241,                0.86543,                0.71133,                 1.1741,             0.00084297,             0.00084297,             0.00084297
                     12,                0.76537,                0.60104,                0.94975,                0.28449,                0.13333,                0.10568,                0.06381,                 2.1037,                  4.993,                 2.3784,             0.00091953,             0.00091953,             0.00091953
                     13,                0.78484,                0.64952,                 1.0019,                0.06249,                0.13333,                0.02362,                0.01172,                 2.4436,                 5.4615,                 2.7256,             0.00099576,             0.00099576,             0.00099576
                     14,                0.83952,                0.76115,                 1.0213,                0.02155,                0.06667,                0.00232,                0.00119,                 3.8586,                 11.266,                 4.5374,              0.0010717,              0.0010717,              0.0010717
                     15,                0.73322,                0.68599,                0.96011,                0.01894,                    0.2,                0.01184,                0.00706,                 2.4895,                 4.2055,                 2.9573,              0.0011473,              0.0011473,              0.0011473
                     16,                0.69611,                0.60723,                0.94278,                0.03987,                0.06667,                0.00585,                0.00246,                 2.8917,                 7.0141,                 5.7191,              0.0012226,              0.0012226,              0.0012226
                     17,                0.76605,                0.60809,                 1.0209,                0.00067,                    0.2,                 0.0006,                  7e-05,                 4.4693,                 36.341,                 10.893,              0.0012975,              0.0012975,              0.0012975
                     18,                0.72752,                0.59971,                0.97054,                0.00389,                    0.2,                0.00221,                0.00059,                 3.8585,                 221.74,                 7.0833,              0.0013722,              0.0013722,              0.0013722
                     19,                0.75503,                0.61203,                0.98195,                0.00267,                    0.8,                0.00277,                0.00158,                  1.836,                 658.17,                 1.8297,              0.0014465,              0.0014465,              0.0014465
                     20,                0.71594,                 0.6485,                 1.0013,                0.00036,                0.06667,                0.00013,                  4e-05,                 4.9841,                 980.06,                 18.381,              0.0015206,              0.0015206,              0.0015206
                     21,                0.76872,                0.71477,                0.99307,                0.00023,                0.06667,                0.00013,                  4e-05,                  4.952,                    inf,                 152.21,              0.0015943,              0.0015943,              0.0015943
                     22,                 0.7148,                0.84144,                0.99434,                0.00023,                0.06667,                0.00013,                  4e-05,                    nan,                    nan,                    nan,              0.0016677,              0.0016677,              0.0016677
                     23,                0.75381,                0.95069,                 1.0019,                0.00116,                0.06667,                0.00057,                0.00011,                    nan,                    nan,                    nan,              0.0017407,              0.0017407,              0.0017407
                     24,                0.87384,                0.82225,                 1.0294,                0.00116,                0.06667,                0.00057,                0.00011,                    nan,                    nan,                    nan,              0.0018135,              0.0018135,              0.0018135
                     25,                0.71814,                0.68259,                0.97636,                0.00022,                0.06667,                0.00012,                  1e-05,                    nan,                    nan,                    nan,              0.0018859,              0.0018859,              0.0018859
                     26,                0.85507,                0.80896,                 1.0226,                0.00156,                0.46667,                0.00136,                0.00042,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     27,                0.77218,                0.62419,                0.99063,                  0.002,                    0.6,                0.00189,                0.00066,                    nan,                    nan,                    nan,               0.001897,               0.001897,               0.001897
                     28,                0.84238,                0.64636,                 1.0349,                0.00362,                    0.6,                 0.0037,                 0.0015,                  2.803,                    inf,                 7.0306,              0.0018931,              0.0018931,              0.0018931
                     29,                0.88118,                0.65727,                 1.0158,                0.00511,                0.86667,                0.00738,                0.00247,                 1.6736,                    525,                 1.9194,              0.0018891,              0.0018891,              0.0018891
                     30,                0.72895,                0.59836,                0.98115,                0.00492,                0.86667,                 0.0049,                0.00237,                 1.6984,                 561.69,                 1.8849,              0.0018852,              0.0018852,              0.0018852
                     31,                0.76937,                0.61339,                0.98324,                0.02506,                0.66667,                0.02536,                0.01764,                0.97119,                 66.915,                  1.158,              0.0018812,              0.0018812,              0.0018812
                     32,                0.62557,                0.49985,                0.89116,                      1,                0.33333,                0.82745,                0.65246,                0.86065,                  15.44,                 1.1289,              0.0018772,              0.0018772,              0.0018772
                     33,                0.68693,                0.53031,                0.95579,                0.31841,                      1,                0.87373,                0.69301,                0.87175,                 7.2364,                 1.1043,              0.0018733,              0.0018733,              0.0018733
                     34,                0.74599,                0.54826,                0.99675,                0.49947,                0.93144,                  0.779,                0.64706,                 0.7321,                 3.4359,                 1.0035,              0.0018693,              0.0018693,              0.0018693
                     35,                0.71481,                 0.5548,                0.97156,                0.46605,                0.87303,                0.80542,                0.65992,                0.65331,                 3.7257,                  1.004,              0.0018654,              0.0018654,              0.0018654
                     36,                0.75165,                0.60279,                0.99112,                 0.9558,                      1,                  0.995,                0.83891,                0.73853,                  2.543,                 1.0328,              0.0018614,              0.0018614,              0.0018614
                     37,                 0.6853,                0.49914,                0.97596,                0.94897,                      1,                  0.995,                  0.758,                 0.8665,                 2.9131,                 1.1103,              0.0018574,              0.0018574,              0.0018574
                     38,                0.69213,                0.50431,                0.96654,                0.87657,                 0.9476,                0.98794,                0.73293,                0.79925,                 2.6457,                  1.085,              0.0018535,              0.0018535,              0.0018535
                     39,                0.64676,                0.50127,                0.95222,                0.87303,                      1,                  0.995,                0.75185,                0.81404,                 2.1307,                 1.1571,              0.0018495,              0.0018495,              0.0018495
                     40,                0.75917,                0.51984,                0.98762,                0.97693,                      1,                  0.995,                 0.7695,                0.86917,                   1.67,                 1.1843,              0.0018456,              0.0018456,              0.0018456
                     41,                0.68174,                0.52409,                0.95329,                 0.9786,                      1,                  0.995,                0.73829,                0.92241,                 1.2453,                 1.1457,              0.0018416,              0.0018416,              0.0018416
                     42,                0.73764,                0.51257,                0.95701,                0.98841,                      1,                  0.995,                0.76347,                0.81473,                0.94387,                 1.0763,              0.0018376,              0.0018376,              0.0018376
                     43,                0.75227,                0.52532,                0.94826,                0.98425,                      1,                  0.995,                0.80517,                 0.8403,                0.73353,                 1.1086,              0.0018337,              0.0018337,              0.0018337
                     44,                0.74252,                0.47796,                0.98736,                0.92881,                      1,                  0.995,                0.84037,                0.73126,                0.67852,                0.99828,              0.0018297,              0.0018297,              0.0018297
                     45,                0.70126,                0.47807,                0.97473,                0.98887,                      1,                  0.995,                0.79146,                0.74043,                0.73311,                 1.0044,              0.0018258,              0.0018258,              0.0018258
                     46,                0.70463,                0.47895,                0.98074,                0.99101,                      1,                  0.995,                0.78558,                 0.7345,                 1.0141,                 1.0171,              0.0018218,              0.0018218,              0.0018218
                     47,                0.63799,                0.47983,                0.94593,                0.99046,                      1,                  0.995,                0.79447,                0.74283,                  1.338,                 1.0312,              0.0018178,              0.0018178,              0.0018178
                     48,                0.69916,                0.49362,                 1.0094,                0.99186,                      1,                  0.995,                0.85737,                0.65674,                 1.0956,                0.98295,              0.0018139,              0.0018139,              0.0018139
                     49,                0.64819,                0.44572,                0.91908,                0.99142,                      1,                  0.995,                0.85499,                0.69373,                0.79036,                0.97123,              0.0018099,              0.0018099,              0.0018099
                     50,                0.61377,                0.42411,                0.93898,                 0.9942,                      1,                  0.995,                  0.849,                0.60837,                0.61354,                0.94643,               0.001806,               0.001806,               0.001806
                     51,                0.64767,                0.44555,                0.92946,                0.99569,                      1,                  0.995,                0.79918,                 0.6646,                0.49118,                0.98699,               0.001802,               0.001802,               0.001802
                     52,                0.63193,                0.47455,                0.93705,                0.99579,                      1,                  0.995,                0.80723,                0.65545,                0.42231,                 0.9995,               0.001798,               0.001798,               0.001798
