                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.135,                 3.6823,                 1.0915,                0.00333,                      1,                0.02893,                0.02275,                0.90114,                 3.6419,                0.98445,                  6e-05,                  6e-05,                  6e-05
                      2,                0.92982,                 3.3587,                0.99412,                0.00333,                      1,                0.73041,                0.44424,                 1.0801,                 3.3614,                0.86923,             0.00013972,             0.00013972,             0.00013972
                      3,                0.83004,                 2.2173,                0.90626,                0.00333,                      1,                0.97413,                0.64652,                0.91585,                 3.1182,                0.83482,             0.00021913,             0.00021913,             0.00021913
                      4,                0.80717,                 1.6072,                0.88976,                      1,                0.26376,                0.98237,                 0.7207,                0.88329,                 2.9867,                  0.843,             0.00029822,             0.00029822,             0.00029822
                      5,                0.80516,                 1.3193,                0.91977,                      1,                0.36857,                0.75777,                0.61555,                0.75425,                 3.1158,                0.83614,             0.00037699,             0.00037699,             0.00037699
                      6,                0.76712,                 1.3856,                0.92405,                0.00333,                      1,                 0.5589,                0.46987,                0.70031,                 3.1279,                0.82733,             0.00045545,             0.00045545,             0.00045545
                      7,                0.77838,                 1.4275,                 1.0059,                0.00333,                      1,                0.35985,                0.30632,                0.66493,                 3.1995,                0.85045,             0.00053358,             0.00053358,             0.00053358
                      8,                0.76556,                 1.4871,                0.97224,                0.00333,                      1,                 0.0611,                0.04755,                0.69092,                 3.4181,                0.91267,             0.00061141,             0.00061141,             0.00061141
                      9,                0.71656,                 1.3198,                0.92799,                0.00333,                      1,                0.07269,                0.05055,                  0.975,                 3.4859,                  1.015,             0.00068891,             0.00068891,             0.00068891
                     10,                0.81029,                 1.3776,                0.96934,                0.00333,                      1,                 0.0729,                 0.0417,                0.80293,                 3.5796,                0.99059,              0.0007661,              0.0007661,              0.0007661
                     11,                0.81193,                 1.3696,                0.98319,                0.00333,                      1,                0.07327,                0.02946,                 1.0127,                 3.5616,                 1.1342,             0.00084297,             0.00084297,             0.00084297
                     12,                0.74928,                 1.1472,                0.91542,                0.00333,                      1,                0.01249,                0.00986,                0.74345,                 3.3305,                0.97496,             0.00091953,             0.00091953,             0.00091953
                     13,                0.71856,                 1.2429,                0.92197,                0.00333,                      1,                0.60105,                0.43918,                0.82141,                 3.1616,                 1.0291,             0.00099576,             0.00099576,             0.00099576
                     14,                0.73774,                 1.1824,                0.92713,                0.00333,                      1,                0.75903,                0.52854,                 1.0254,                 3.1109,                 1.0926,              0.0010717,              0.0010717,              0.0010717
                     15,                0.73607,                 1.1371,                 0.9712,                      1,                0.76247,                  0.995,                0.77825,                0.81977,                 2.8007,                  0.975,              0.0011473,              0.0011473,              0.0011473
                     16,                0.71594,                 1.1345,                0.91022,                      1,                0.71962,                  0.995,                0.77946,                0.80359,                 2.6869,                 0.9509,              0.0012226,              0.0012226,              0.0012226
                     17,                0.74454,                 1.1671,                0.97674,                      1,                0.84041,                  0.995,                0.76806,                0.87142,                 2.7155,                0.98455,              0.0012975,              0.0012975,              0.0012975
                     18,                0.73798,                 1.0621,                 0.9164,                0.87596,                0.94201,                0.87794,                0.69072,                0.80168,                 2.4674,                0.99643,              0.0013722,              0.0013722,              0.0013722
                     19,                0.73963,                 1.0684,                0.93536,                0.82315,                0.93333,                0.93712,                0.78559,                0.75785,                 2.3152,                0.94368,              0.0014465,              0.0014465,              0.0014465
                     20,                 0.6648,                 1.1384,                0.91423,                0.51627,                0.93333,                0.69991,                0.58064,                0.77636,                 2.4339,                0.95037,              0.0015206,              0.0015206,              0.0015206
                     21,                0.72978,                 1.2129,                0.93417,                0.38262,                0.82682,                0.57911,                0.47097,                0.82493,                 2.2096,                0.98666,              0.0015943,              0.0015943,              0.0015943
                     22,                0.69108,                 1.0932,                0.93251,                0.92994,                0.88582,                0.94509,                0.77226,                0.78664,                 1.9631,                0.98264,              0.0016677,              0.0016677,              0.0016677
                     23,                0.74958,                 1.1614,                0.98674,                      1,                0.99739,                  0.995,                0.83732,                0.79424,                 1.5396,                 1.0205,              0.0017407,              0.0017407,              0.0017407
                     24,                 0.7244,                0.98996,                0.92401,                0.98137,                      1,                  0.995,                0.74745,                0.91064,                 1.4331,                 1.1027,              0.0018135,              0.0018135,              0.0018135
                     25,                0.76606,                 1.0059,                0.93327,                0.99185,                      1,                  0.995,                 0.7212,                0.88249,                 1.4137,                 1.0594,              0.0018859,              0.0018859,              0.0018859
                     26,                0.71937,                 1.0177,                 0.9019,                0.98874,                      1,                  0.995,                0.79042,                0.77102,                 1.0655,                0.99666,               0.001901,               0.001901,               0.001901
                     27,                0.73199,                 1.0023,                 0.9306,                 0.9952,                      1,                  0.995,                0.79141,                 0.7483,                0.90667,                0.98504,               0.001897,               0.001897,               0.001897
                     28,                0.68781,                0.88535,                0.94941,                0.99448,                      1,                  0.995,                0.82233,                0.72375,                0.90604,                0.99844,              0.0018931,              0.0018931,              0.0018931
