                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1165,                 4.2402,                 1.1582,                0.45014,                0.65537,                0.43121,                0.33239,                 1.0661,                  3.017,                 1.1582,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.1388,                 4.2993,                  1.134,                0.89105,                0.13333,                0.15808,                0.14164,                  0.998,                 7.7231,                 1.1003,             0.00013972,             0.00013972,             0.00013972
                      3,                0.85998,                 2.6442,                 1.0638,                0.39399,                0.46667,                 0.3288,                0.20817,                 1.4684,                 7.7017,                 1.2899,             0.00021913,             0.00021913,             0.00021913
                      4,                0.83279,                 1.4754,                0.98255,                      1,                0.66651,                0.75458,                0.62595,                0.83503,                 3.7291,                0.99628,             0.00029822,             0.00029822,             0.00029822
                      5,                0.74328,                 1.2363,                 0.9357,                0.99632,                    0.6,                0.65607,                 0.5108,                0.91413,                 3.0421,                 1.0063,             0.00037699,             0.00037699,             0.00037699
                      6,                0.75435,                 1.0176,                0.92824,                0.99423,                    0.6,                0.65463,                 0.4744,                 1.0489,                 2.2639,                 1.0768,             0.00045545,             0.00045545,             0.00045545
                      7,                0.78242,                0.96612,                  1.007,                0.96312,                    0.8,                 0.8971,                0.69008,                0.90147,                 1.6918,                 1.0082,             0.00053358,             0.00053358,             0.00053358
                      8,                0.72999,                0.88797,                0.95581,                0.97488,                0.93333,                0.98794,                0.79442,                 0.7793,                 1.6303,                 1.0145,             0.00061141,             0.00061141,             0.00061141
                      9,                0.73918,                  0.876,                0.96335,                0.91945,                0.93333,                0.98794,                 0.8122,                0.76664,                 1.8884,                 0.9745,             0.00068891,             0.00068891,             0.00068891
                     10,                0.72127,                  1.026,                0.97217,                 0.9948,                      1,                  0.995,                0.79068,                0.80238,                 0.8599,                0.98835,              0.0007661,              0.0007661,              0.0007661
                     11,                0.81339,                0.88698,                 1.0002,                0.70592,                 0.6413,                0.72755,                  0.605,                0.78972,                 1.7137,                 1.0024,             0.00084297,             0.00084297,             0.00084297
                     12,                0.75791,                0.78329,                0.95531,                0.78243,                    0.4,                0.56545,                0.45594,                0.81397,                 1.4841,                 1.0434,             0.00091953,             0.00091953,             0.00091953
                     13,                0.70091,                 0.6674,                0.94936,                0.57024,                    0.4,                0.41419,                0.26767,                 1.0627,                 2.2111,                  1.216,             0.00099576,             0.00099576,             0.00099576
                     14,                0.76609,                0.71686,                0.98574,                0.97305,                0.66667,                0.83251,                 0.6329,                0.86621,                 1.3805,                 1.0664,              0.0010717,              0.0010717,              0.0010717
                     15,                0.72437,                0.63128,                0.97764,                0.00848,                      1,                0.00872,                0.00692,                0.81412,                 82.624,                 1.0309,              0.0011473,              0.0011473,              0.0011473
                     16,                0.67663,                0.60626,                0.90898,                0.00927,                0.93333,                0.00952,                0.00757,                0.78666,                 52.909,                 1.0282,              0.0012226,              0.0012226,              0.0012226
                     17,                0.69206,                0.59088,                0.96939,                0.01904,                0.93333,                0.02001,                0.01607,                0.74454,                 25.043,                 1.0149,              0.0012975,              0.0012975,              0.0012975
                     18,                0.68274,                0.52533,                0.91827,                0.43045,                    0.4,                0.52008,                0.39428,                 1.0941,                 2.7753,                 1.1826,              0.0013722,              0.0013722,              0.0013722
                     19,                 0.7204,                0.53052,                0.95816,                0.96624,                0.26667,                0.35066,                0.25027,                 1.2141,                  3.457,                 1.2948,              0.0014465,              0.0014465,              0.0014465
                     20,                0.65658,                0.51164,                 0.9736,                 0.2656,                0.53333,                0.30519,                0.23269,                 1.0401,                 5.5301,                 1.1797,              0.0015206,              0.0015206,              0.0015206
                     21,                0.69773,                0.54703,                0.97725,                0.11492,                0.06667,                  0.028,                0.02307,                 1.5395,                 12.561,                 1.5135,              0.0015943,              0.0015943,              0.0015943
                     22,                0.67971,                0.60421,                0.92013,                0.04032,                0.26667,                0.03483,                0.02178,                 1.2552,                 20.461,                 1.3641,              0.0016677,              0.0016677,              0.0016677
                     23,                  0.749,                0.55115,                0.95476,                0.03301,                0.73333,                0.03292,                0.02021,                 1.2118,                 18.134,                 1.4212,              0.0017407,              0.0017407,              0.0017407
                     24,                0.74209,                0.52038,                0.95198,                0.02375,                0.53333,                0.01754,                0.01068,                 1.5071,                 10.571,                 1.4707,              0.0018135,              0.0018135,              0.0018135
                     25,                0.63479,                0.50499,                0.93112,                0.01736,                0.73333,                0.01701,                0.00973,                 1.4785,                  14.43,                 1.4006,              0.0018859,              0.0018859,              0.0018859
                     26,                0.69458,                0.58105,                0.92299,                 0.0314,                0.46667,                 0.0247,                0.01442,                 1.4352,                 12.268,                 1.3767,               0.001901,               0.001901,               0.001901
                     27,                0.67015,                0.51161,                0.91405,                0.97391,                    0.6,                0.66191,                0.50725,                0.98569,                 2.4834,                 1.1513,               0.001897,               0.001897,               0.001897
                     28,                0.80227,                0.53339,                0.98103,                0.90217,                    0.4,                0.47944,                0.38791,                 0.9217,                 3.7124,                 1.2082,              0.0018931,              0.0018931,              0.0018931
                     29,                0.71999,                0.51319,                0.93752,                 0.6502,                0.33333,                0.26142,                0.19769,                 1.7224,                 6.4652,                 1.8292,              0.0018891,              0.0018891,              0.0018891
                     30,                0.75421,                0.48723,                0.95973,                0.66119,                0.33333,                0.30137,                0.24352,                 1.7247,                 5.7827,                 2.7627,              0.0018852,              0.0018852,              0.0018852
                     31,                0.69155,                0.55094,                0.94928,                0.83234,                0.26667,                0.30941,                0.26532,                0.89316,                 4.8968,                 1.3318,              0.0018812,              0.0018812,              0.0018812
                     32,                0.62839,                0.43576,                0.87404,                      1,                0.32256,                0.33609,                0.30248,                0.82194,                 2.7255,                 1.1358,              0.0018772,              0.0018772,              0.0018772
                     33,                0.69662,                0.53048,                0.92551,                0.95731,                0.26667,                0.26889,                0.23813,                 1.7438,                  2.854,                 4.9166,              0.0018733,              0.0018733,              0.0018733
                     34,                0.71038,                0.52213,                0.92562,                 0.7818,                    0.4,                0.39868,                0.35773,                 1.3497,                 1.9562,                 1.8236,              0.0018693,              0.0018693,              0.0018693
                     35,                0.64089,                0.45153,                 0.9127,                0.01106,                0.33333,                0.00564,                0.00452,                 1.3234,                 43.972,                 1.7422,              0.0018654,              0.0018654,              0.0018654
                     36,                0.67855,                0.52775,                0.93382,                0.03696,                0.33333,                0.01834,                0.01411,                 1.3322,                 8.8652,                 1.3456,              0.0018614,              0.0018614,              0.0018614
                     37,                0.67914,                0.52171,                  0.961,                0.03162,                    0.4,                0.01592,                0.01181,                 1.1358,                 10.749,                 1.2817,              0.0018574,              0.0018574,              0.0018574
                     38,                0.63982,                0.46827,                0.92807,                0.52254,                    0.4,                0.27266,                0.21795,                 1.1849,                 5.0233,                 1.2748,              0.0018535,              0.0018535,              0.0018535
                     39,                0.60182,                0.42929,                0.90077,                0.79675,                0.66667,                0.78002,                0.55932,                0.94995,                  1.819,                 1.1265,              0.0018495,              0.0018495,              0.0018495
                     40,                0.66374,                0.48746,                0.94675,                0.98901,                0.93333,                0.93717,                0.72733,                0.89214,                 1.0567,                 1.1449,              0.0018456,              0.0018456,              0.0018456
                     41,                0.62861,                0.47845,                0.94727,                0.98702,                0.93333,                0.94162,                0.74727,                0.87358,                 1.1928,                 1.1057,              0.0018416,              0.0018416,              0.0018416
                     42,                0.66869,                0.45501,                0.92894,                      1,                0.92568,                0.94256,                0.75503,                0.88037,                 1.4632,                 1.0845,              0.0018376,              0.0018376,              0.0018376
                     43,                0.62224,                0.48067,                0.91702,                0.98554,                0.93333,                0.93704,                0.73127,                0.88426,                 1.9425,                 1.1004,              0.0018337,              0.0018337,              0.0018337
                     44,                0.61801,                0.44502,                0.94822,                0.98935,                0.93333,                  0.936,                0.76534,                0.82485,                 1.5757,                  1.079,              0.0018297,              0.0018297,              0.0018297
